Designator,Device,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
C10,0603B105K250NT,C0603,4.521mm,-39.929mm,T,270,1uF
R13,RC0402FR-071ML,R0402,-6.401mm,-39.98mm,T,270,1M?
R10,0402WGF3300TCE,R0402,-5.5mm,-37.5mm,T,270,330?
R11,0402WGF1601TCE,R0402,-5.5mm,-35.4mm,T,270,1.6k?
C3,0402B471K500NT,C0402,-6.7mm,-35.1mm,T,90,470pF
D3,1N4148W_R1_00001,SOD-123_L2.7-W1.7-LS3.8-RD,4.8mm,-36.2mm,T,90,1N4148W
R12,RC0402FR-0710KL,R0402,4.9mm,-33.4mm,T,0,10k?
C44,CL05B104KO5NNNC,C0402,3.266mm,-32.754mm,T,90,100nF
C9,CL05B103KB5NNNC,C0402,-6.1mm,-33.2mm,T,180,10nF
C39,CL05A106MP5NUNC_C315248,C0402,-1.7mm,-27.593mm,T,180,10uF
C38,CL05B104KO5NNNC,C0402,-1.7mm,-28.693mm,T,180,100nF
C37,CL05A106MP5NUNC_C315248,C0402,0.795mm,-28.688mm,T,180,10uF
C36,CL05B104KO5NNNC,C0402,0.795mm,-27.588mm,T,180,100nF
U12,TLC555CDR,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,-1.1mm,-35.2mm,T,90,2.1MHz
SW,SSSS811101,SW-SMD_SSSS811101,-6.069mm,-25.781mm,T,270,SSSS811101
PROBE-2,Connector_TestPoint,soil:SOIL-4,-0.864mm,-41.834mm,T,0,2
R8,5.1k?,R0402,-4mm,-8.4mm,T,270,5.1k?
USB,TYPE-C,USB-C-SMD_TYPE-C-6PIN-2MD-073,-7.62mm,-10.16mm,T,270,TYPE-C
U17,HE9073A33MR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,-1.005mm,-30.888mm,T,0,HE9073A33MR
C6,4.7uF,C0402,-0.4mm,-21.3mm,T,180,4.7uF
C8,4.7uF,C0402,-2.246mm,-24.441mm,T,270,4.7uF
R1,2k?,R0402,2.323mm,-25.7mm,T,0,2k?
R9,5.1k?,R0402,-4mm,-12.2mm,T,90,5.1k?
C1,CL05B104KO5NNNC,C0402,-2.055mm,-18.255mm,T,270,100nF
C2,CL05A106MP5NUNC_C315248,C0402,-3.155mm,-18.245mm,T,270,10uF
C5,CL05B104KO5NNNC,C0402,-1.5mm,-5.6mm,T,180,100nF
U14,MAX17048G+T10,DFN-8_L2.0-W2.0-P0.50-BL-EP,-1.8mm,-3.3mm,T,0,MAX17048G+T10
U4,MCP73831T-2ACI/OT,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,0mm,-23.8mm,T,180,MCP73831T-2ACI/OT
U18,WAFER-PH2.0-2PWZ,CONN-TH_2P-P2.00_GP01-2001WR-2P,2mm,-10.8mm,T,180,Battery
LED2,XL-1608UBC-04,LED0603-RD_BLUE,5.5mm,-4.1mm,T,0,IO5
R3,0402WGF2200TCE,R0402,5.511mm,-2.661mm,T,180,220?
D4,VS-10BQ015HM3/5BT,SMB_L4.6-W3.6-LS5.3-RD,-7.3mm,-17.5mm,T,180,VS-10BQ015HM3/5BT
D5,VS-10BQ015HM3/5BT,SMB_L4.6-W3.6-LS5.3-RD,7.3mm,-14.1mm,T,90,VS-10BQ015HM3/5BT
Solar+,Test-Point,PAD 0.8DRIL,9.062mm,-9.124mm,T,0,Test-Point
Solar-,Test-Point,PAD 0.8DRIL,9.062mm,-6.024mm,T,0,Test-Point
R29,5.1k?,R0402,-5.6mm,-3.9mm,T,180,5.1k?
R30,RC0402FR-0710KL,R0402,-5.6mm,-2.8mm,T,0,10k?
SW1,TS-1088R-02026,SW-SMD_L3.9-W3.0-P4.45,-5.1mm,0.1mm,T,180,IO10
C12,0603B105K250NT,C0603,-7.6mm,4mm,T,90,1uF
R5,RC0402FR-0710KL,R0402,-7.9mm,8.7mm,T,180,10k?
U19,ESP32-C3-MINI-1-H4_C2934569,WIFIM-SMD_ESP32-C3-MINI-1,0mm,7.9mm,T,0,2.4GHz
C4,CL05B104KO5NNNC,C0402,-1.6mm,1.5mm,T,180,100nF
C7,CL05B104KO5NNNC,C0402,-7.4mm,10.9mm,T,270,100nF
C11,CL05A106MP5NUNC_C315248,C0402,-8.6mm,10.9mm,T,270,10uF
C13,CL05B104KO5NNNC,C0402,9mm,2.1mm,T,180,100nF
R2,RC0402FR-0710KL,R0402,3mm,1.5mm,T,0,10k?
R4,RC0402FR-0710KL,R0402,-7.5mm,6.7mm,T,90,10k?
SW2,TS-1088R-02026,SW-SMD_L3.9-W3.0-P4.45,8.5mm,5.6mm,T,90,Boot
